J7, 12-1-2023,1, light ont good fiber signal hub tici levels checked customer,The light on the ONT was good; the fiber signal was checked; the hub TiCi levels were verified; the customer was informed.
J7, 12-1-2023,2, cust working ont ed router verified tici gave service services,The customer’s ONT and router were working; the TiCi test was verified; the service was provided.
J7, 12-1-2023,3, ont replaced router tici bad customer moca new installed services,The ONT and router were replaced; the TiCi test showed bad results; the customer’s MOCA was installed; the new services were activated.
J7, 12-1-2023,4, dial tone voice phone called dt customer ont calls no,There was no dial tone; the voice phone call was made; the customer’s ONT calls were not working.
J7, 12-1-2023,5, tech site trouble ticket ont cx service tici cleared complete,The technician visited the site; the trouble ticket was cleared; the ONT CX service was completed; the TiCi test was verified.
J7, 12-1-2023,6, customer service working eero router not tici internet ont no,The customer’s service was working; the Eero router was not functioning; the TiCi test was not performed; the internet ONT was not working.
J7, 12-1-2023,7, port ethernet ont bounced data service verified customer working plugged,The Ethernet port on the ONT was bounced; the data service was verified; the customer’s connection was plugged in.
J7, 12-1-2023,8, power ont customer supply eero replaced service tici cord no,The power supply for the ONT was replaced; the customer’s Eero service was restored; the TiCi test was performed; the cord was not working.
J7, 12-1-2023,9, cx services service ont working verified no router rg tici,The CX services were verified; the ONT service was working; the router RG was not functioning; the TiCi test was not performed.
J7, 12-1-2023,10, no answer access door cbr left called message home vm,There was no answer at the door; access to the CBR was not available; a message was left at the home VM.
JV, 12-1-2023,1, box customer set top home not called no call vm,The customer’s set-top box was not working; a call was made; there was no response; the VM was checked.
JV, 12-1-2023,2, eero wifi customer app router not rg installed whole devices,The Eero WiFi app was not functioning; the customer’s router was not installed; the RG was not working; the devices were not connected.
JV, 12-1-2023,3, phone voice customer line working ont services cust service port,The phone voice line was working; the customer’s ONT services were verified; the service port was checked.
JV, 12-1-2023,4, customer tv issue no input trouble service advised remote called,The customer had a TV issue; there was no input; the trouble service was advised; the remote call was made.
JV, 12-1-2023,5, ont replaced tici light router customer hub power verified moca,The ONT was replaced; the TiCi test was performed; the light was checked; the router was verified; the customer’s hub power was restored; the MOCA was working.
JV, 12-1-2023,6, dt no answer ont access door nid iw cx good,There was no answer at the door; access to the ONT was not available; the NID IW CX was checked; everything was good.
JV, 12-1-2023,7, dial tone ont no verified customer phone called working calls,There was no dial tone on the ONT; the customer’s phone was called; the calls were verified.
JV, 12-1-2023,8, drop ok buried test customer working services tici coax verify,The drop was buried; the test was performed; the customer’s services were working; the TiCi test was verified; the coax was checked.
JV, 12-1-2023,9, cx ont router not services verified issue service issues no,The CX ONT router was not working; the services were verified; the issue was identified.
JV, 12-1-2023,10, service stb customer working not tici ont restored verified new,The CX ONT services were working; the router was not functioning; the TiCi test was not performed; the issue was verified.
J3, 12-1-2023,1, light no ont hub good red terminal optical back found,The light on the ONT was not good; the hub showed a red terminal; the optical back was found.
J3, 12-1-2023,2, drop cut temp buried ticket placed submitted swc customer tici,A drop cut was temporarily buried; a ticket was placed and submitted to SWC; the customer performed the TiCi test.
J3, 12-1-2023,3, jumper hub pulled found tici light customer ont service fiber,The jumper hub was pulled; the TiCi light was found; the customer verified the ONT fiber service.
J3, 12-1-2023,4, port terminal hub customer fiber tici splitter service ont cleaned,The port terminal hub was cleaned; the customer fiber TiCi splitter service was checked; the ONT was cleaned.
J3, 12-1-2023,5, power supply ont adapter bbu customer replaced no service outlet,The power supply for the ONT adapter was replaced; the BBU was checked; the customer had no service at the outlet.
